id_avaliacao,data_avaliacao,id_cliente,nota_nps,canal,dispositivo,categoria_compra,valor_pedido,uf,primeiro_pedido
202604-00001,2026-04-13,C36774,10,app,Android,Mercado,"R$ 128,15",PE,nao
202604-00002,2026-04-15,C20356,9,app,Android,Livros,"R$ 63,79",CE,sim
202604-00003,2026-04-02,C28256,9,app,Desktop,Mercado,"R$ 45,17",PE,nao
202604-00004,2026-04-07,C31449,7,marketplace,Desktop,Casa e Decoração,"R$ 64,54",DF,sim
202604-00005,2026-04-11,C28355,6,site,Android,Livros,"R$ 288,66",CE,nao
202604-00006,2026-04-04,C34881,10,site,iOS,Casa e Decoração,"R$ 186,12",RJ,nao
202604-00007,2026-04-23,C13483,5,site,iOS,Moda,"R$ 97,37",BA,nao
202604-00008,2026-04-07,C16145,10,app,Desktop,Moda,"R$ 134,18",SP,nao
202604-00009,2026-04-23,C21073,10,site,Android,Livros,"R$ 160,02",PR,sim
202604-00010,2026-04-15,C31576,8,site,Android,Beleza,"R$ 97,87",CE,sim
202604-00011,2026-04-18,C24182,8,site,Android,Esporte,"R$ 109,21",SP,sim
202604-00012,2026-04-24,C36713,9,site,Android,Esporte,"R$ 237,39",MG,nao
202604-00013,2026-04-14,C29955,6,site,Android,Casa e Decoração,"R$ 47,85",PE,nao
202604-00014,2026-04-15,C36371,3,marketplace,Android,Livros,"R$ 173,40",RS,nao
202604-00015,2026-04-28,C20286,5,site,Desktop,Livros,"R$ 26,92",DF,sim
202604-00016,2026-04-23,C19521,9,app,Desktop,Moda,"R$ 695,83",SP,sim
202604-00017,2026-04-23,C13781,8,site,Android,Esporte,"R$ 218,53",BA,nao
202604-00018,2026-04-10,C38753,8,site,Desktop,Esporte,"R$ 113,38",DF,sim
202604-00019,2026-04-02,C31962,10,app,iOS,Mercado,"R$ 99,17",MG,sim
202604-00020,2026-04-05,C37504,7,marketplace,Android,Moda,"R$ 152,20",RS,sim
202604-00021,2026-04-04,C30188,7,app,Android,Mercado,"R$ 243,33",CE,sim
202604-00022,2026-04-13,C17785,7,site,Android,Livros,"R$ 71,59",DF,nao
